term,term_study_count,atlas,region,activation_density_mean_z,activation_density_peak_z,voxel_count,is_vmPFC_acc_seed,term_columns,pooled_seed_activation_density_mean_z,seed_scaled_activation_density,activation_density_rank_within_term,seed_scaled_activation_density_rank_within_term
threat,228,harvard_oxford_cortical,Insular Cortex,3.577029598365223,12.443557739257812,2341,False,terms_abstract_tfidf__threat,2.4951846645384195,8.925349398440927,7.0,7.0
threat,228,harvard_oxford_cortical,Superior Frontal Gyrus,0.612350792361526,6.6259636878967285,5080,False,terms_abstract_tfidf__threat,2.4951846645384195,1.5279283064184297,38.0,38.0
threat,228,harvard_oxford_cortical,Middle Frontal Gyrus,0.8131064030463037,5.9812211990356445,5316,False,terms_abstract_tfidf__threat,2.4951846645384195,2.028850627519132,32.0,32.0
threat,228,harvard_oxford_cortical,"Inferior Frontal Gyrus, pars triangularis",2.5563863045717516,6.6259636878967285,1103,False,terms_abstract_tfidf__threat,2.4951846645384195,6.378655903803476,11.0,11.0
threat,228,harvard_oxford_cortical,"Inferior Frontal Gyrus, pars opercularis",2.4023958066467603,6.837496757507324,1384,False,terms_abstract_tfidf__threat,2.4951846645384195,5.994421174896402,14.0,14.0
threat,228,harvard_oxford_cortical,Precentral Gyrus,0.4271217590658748,5.542278289794922,8573,False,terms_abstract_tfidf__threat,2.4951846645384195,1.0657476631118443,48.0,48.0
threat,228,harvard_oxford_cortical,Temporal Pole,0.3912128726784729,10.416622161865234,4711,False,terms_abstract_tfidf__threat,2.4951846645384195,0.9761483604773468,49.0,49.0
threat,228,harvard_oxford_cortical,"Superior Temporal Gyrus, anterior division",0.1403507319155673,1.6664888858795166,521,False,terms_abstract_tfidf__threat,2.4951846645384195,0.3502009939324664,58.0,58.0
threat,228,harvard_oxford_cortical,"Superior Temporal Gyrus, posterior division",0.520404613636882,3.9381630420684814,1830,False,terms_abstract_tfidf__threat,2.4951846645384195,1.298505611301789,44.0,44.0
threat,228,harvard_oxford_cortical,"Middle Temporal Gyrus, anterior division",0.05441420075466048,1.1166125535964966,848,False,terms_abstract_tfidf__threat,2.4951846645384195,0.13577347925614372,60.0,60.0
